query,intent
조리법 즐겨찾기해줘요.,1
지금 조리법 즐겨찾기 해줘요.,1
지금들은 조리법 즐겨찾기 해줘요.,1
현재 조리법 즐겨찾기 해줘요.,1
방금 조리법 즐겨찾기 해줘요.,1
방금들은 조리법 즐겨찾기 해줘요.,1
조리법 저장해주세요.,1
지금 조리법 저장해주세요.,1
지금들은 조리법 저장해주세요.,1
현재 조리법 저장해주세요.,1
방금 조리법 저장해주세요.,1
방금들은 조리법 저장해주세요.,1
조리법 즐겨찾기해주세요.,1
지금 조리법 즐겨찾기 해주세요.,1
지금들은 조리법 즐겨찾기 해주세요.,1
현재 조리법 즐겨찾기 해주세요.,1
방금 조리법 즐겨찾기 해주세요.,1
방금들은 조리법 즐겨찾기 해주세요.,1
조리법 저장해줄래?.,1
지금 조리법 저장해줄래?.,1
지금들은 조리법 저장해줄래?.,1
현재 조리법 저장해줄래?.,1
방금 조리법 저장해줄래?.,1
방금들은 조리법 저장해줄래?.,1
조리법 즐겨찾기해줄래?.,1
지금 조리법 즐겨찾기 해줄래?.,1
지금들은 조리법 즐겨찾기 해줄래?.,1
현재 조리법 즐겨찾기 해줄래?.,1
방금 조리법 즐겨찾기 해줄래?.,1
방금들은 조리법 즐겨찾기 해줄래?.,1
조리법 저장해줄래요?.,1
지금 조리법 저장해줄래요?.,1
지금들은 조리법 저장해줄래요?.,1
현재 조리법 저장해줄래요?.,1
방금 조리법 저장해줄래요?.,1
방금들은 조리법 저장해줄래요?.,1
조리법 즐겨찾기해줄래요?.,1
지금 조리법 즐겨찾기 해줄래요?.,1
지금들은 조리법 즐겨찾기 해줄래요?.,1
현재 조리법 즐겨찾기 해줄래요?.,1
방금 조리법 즐겨찾기 해줄래요?.,1
방금들은 조리법 즐겨찾기 해줄래요?.,1
조리법 저장해주실래요?.,1
지금 조리법 저장해주실래요?.,1
지금들은 조리법 저장해주실래요?.,1
현재 조리법 저장해주실래요?.,1
방금 조리법 저장해주실래요?.,1
방금들은 조리법 저장해주실래요?.,1
조리법 즐겨찾기해주실래요?.,1
지금 조리법 즐겨찾기 해주실래요?.,1
현재 조리법 즐겨찾기 해주실래요?.,1
방금 조리법 즐겨찾기 해주실래요?.,1
방금들은 조리법 즐겨찾기 해주실래요?.,1
조리방법 저장.,1
지금 조리방법 저장.,1
지금들은 조리방법 저장.,1
현재 조리방법 저장.,1
방금 조리방법 저장.,1
방금들은 조리방법 저장.,1
조리방법 저장해줘.,1
지금 조리방법 저장해줘.,1
지금들은 조리방법 저장해줘.,1
현재 조리방법 저장해줘.,1
방금 조리방법 저장해줘.,1
방금들은 조리방법 저장해줘.,1
조리방법 즐겨찾기.,1
지금 조리방법 즐겨찾기.,1
지금들은 조리방법 즐겨찾기.,1
현재 조리방법 즐겨찾기.,1
방금 조리방법 즐겨찾기.,1
방금들은 조리방법 즐겨찾기.,1
조리방법 즐겨찾기해줘.,1
지금 조리방법 즐겨찾기 해줘.,1
지금들은 조리방법 즐겨찾기 해줘.,1
현재 조리방법 즐겨찾기 해줘.,1
방금 조리방법 즐겨찾기 해줘.,1
방금들은 조리방법 즐겨찾기 해줘.,1
조리방법 저장해줘요.,1
지금 조리방법 저장해줘요.,1
지금들은 조리방법 저장해줘요.,1
현재 조리방법 저장해줘요.,1
방금 조리방법 저장해줘요.,1
방금들은 조리방법 저장해줘요.,1
조리방법 즐겨찾기해줘요.,1
지금 조리방법 즐겨찾기 해줘요.,1
지금들은 조리방법 즐겨찾기 해줘요.,1
현재 조리방법 즐겨찾기 해줘요.,1
방금 조리방법 즐겨찾기 해줘요.,1
방금들은 조리방법 즐겨찾기 해줘요.,1
조리방법 저장해주세요.,1
지금 조리방법 저장해주세요.,1
지금들은 조리방법 저장해주세요.,1
현재 조리방법 저장해주세요.,1
방금 조리방법 저장해주세요.,1
방금들은 조리방법 저장해주세요.,1
조리방법 즐겨찾기해주세요.,1
지금 조리방법 즐겨찾기 해주세요.,1
지금들은 조리방법 즐겨찾기 해주세요.,1
현재 조리방법 즐겨찾기 해주세요.,1
방금 조리방법 즐겨찾기 해주세요.,1
방금들은 조리방법 즐겨찾기 해주세요.,1
조리방법 저장해줄래?.,1
지금 조리방법 저장해줄래?.,1
지금들은 조리방법 저장해줄래?.,1
현재 조리방법 저장해줄래?.,1
방금 조리방법 저장해줄래?.,1
방금들은 조리방법 저장해줄래?.,1
조리방법 즐겨찾기해줄래?.,1
지금 조리방법 즐겨찾기 해줄래?.,1
지금들은 조리방법 즐겨찾기 해줄래?.,1
현재 조리방법 즐겨찾기 해줄래?.,1
방금 조리방법 즐겨찾기 해줄래?.,1
방금들은 조리방법 즐겨찾기 해줄래?.,1
조리방법 저장해줄래요?.,1
지금 조리방법 저장해줄래요?.,1
지금들은 조리방법 저장해줄래요?.,1
현재 조리방법 저장해줄래요?.,1
방금 조리방법 저장해줄래요?.,1
방금들은 조리방법 저장해줄래요?.,1
조리방법 즐겨찾기해줄래요?.,1
지금 조리방법 즐겨찾기 해줄래요?.,1
지금들은 조리방법 즐겨찾기 해줄래요?.,1
현재 조리방법 즐겨찾기 해줄래요?.,1
방금 조리방법 즐겨찾기 해줄래요?.,1
방금들은 조리방법 즐겨찾기 해줄래요?.,1
조리방법 저장해주실래요?.,1
지금 조리방법 저장해주실래요?.,1
지금들은 조리방법 저장해주실래요?.,1
현재 조리방법 저장해주실래요?.,1
방금 조리방법 저장해주실래요?.,1
방금들은 조리방법 저장해주실래요?.,1
조리방법 즐겨찾기해주실래요?.,1
지금 조리방법 즐겨찾기 해주실래요?.,1
현재 조리방법 즐겨찾기 해주실래요?.,1
방금 조리방법 즐겨찾기 해주실래요?.,1
방금들은 조리방법 즐겨찾기 해주실래요?.,1
레시피 추천.,2
레시피 추천해줘.,2
레시피 추천해줘요.,2
레시피 추천해.,2
레시피 추천해봐.,2
레시피 추천해줄래?.,2
레시피 추천해줄래요?.,2
레시피 추천해주실래요?.,2
추천 레시피.,2
추천 레시피 띄워줘.,2
추천 레시피 띄워.,2
추천 레시피 띄워줘요.,2
추천 레시피 띄워줄래요?.,2
추천 레시피 띄워줄래?.,2
추천 레시피 띄워주세요.,2
추천 레시피 띄워주실래요?.,2
추천 레시피 보여.,2
추천 레시피 보여줘.,2
추천 레시피 보여줄래?.,2
추천 레시피 보여줄래요?.,2
추천 레시피 보여주실래요?.,2
추천 레시피 보여줘요.,2
추천 레시피 보여줘봐.,2
요리 추천.,2
요리 추천해줘.,2
요리 추천해줘요.,2
요리 추천해.,2
요리 추천해봐.,2
요리 추천해줄래?.,2
요리 추천해줄래요?.,2
요리 추천해주실래요?.,2
추천 요리.,2
추천 요리 띄워줘.,2
추천 요리 띄워.,2
추천 요리 띄워줘요.,2
추천 요리 띄워줄래요?.,2
추천 요리 띄워줄래?.,2
추천 요리 띄워주세요.,2
추천 요리 띄워주실래요?.,2
추천 요리 보여.,2
추천 요리 보여줘.,2
추천 요리 보여줄래?.,2
추천 요리 보여줄래요?.,2
추천 요리 보여주실래요?.,2
추천 요리 보여줘요.,2
추천 요리 보여줘봐.,2
음식 추천.,2
음식 추천해줘.,2
음식 추천해줘요.,2
음식 추천해.,2
음식 추천해봐.,2
음식 추천해줄래?.,2
음식 추천해줄래요?.,2
음식 추천해주실래요?.,2
추천 음식.,2
추천 음식 띄워줘.,2
추천 음식 띄워.,2
추천 음식 띄워줘요.,2
추천 음식 띄워줄래요?.,2
추천 음식 띄워줄래?.,2
추천 음식 띄워주세요.,2
추천 음식 띄워주실래요?.,2
추천 음식 보여.,2
추천 음식 보여줘.,2
추천 음식 보여줄래?.,2
추천 음식 보여줄래요?.,2
추천 음식 보여주실래요?.,2
추천 음식 보여줘요.,2
추천 음식 보여줘봐.,2
요리방법 추천.,2
요리방법 추천해줘.,2
요리방법 추천해줘요.,2
요리방법 추천해.,2
요리방법 추천해봐.,2
요리방법 추천해줄래?.,2
요리방법 추천해줄래요?.,2
요리방법 추천해주실래요?.,2
추천 요리방법.,2
추천 요리방법 띄워줘.,2
추천 요리방법 띄워.,2
추천 요리방법 띄워줘요.,2
추천 요리방법 띄워줄래요?.,2
추천 요리방법 띄워줄래?.,2
추천 요리방법 띄워주세요.,2
추천 요리방법 띄워주실래요?.,2
추천 요리방법 보여.,2
추천 요리방법 보여줘.,2
추천 요리방법 보여줄래?.,2
추천 요리방법 보여줄래요?.,2
추천 요리방법 보여주실래요?.,2
추천 요리방법 보여줘요.,2
추천 요리방법 보여줘봐.,2
조리방법 추천.,2
조리방법 추천해줘.,2
조리방법 추천해줘요.,2
조리방법 추천해.,2
조리방법 추천해봐.,2
조리방법 추천해줄래?.,2
조리방법 추천해줄래요?.,2
조리방법 추천해주실래요?.,2
추천 조리방법.,2
추천 조리방법 띄워줘.,2
추천 조리방법 띄워.,2
추천 조리방법 띄워줘요.,2
추천 조리방법 띄워줄래요?.,2
추천 조리방법 띄워줄래?.,2
추천 조리방법 띄워주세요.,2
추천 조리방법 띄워주실래요?.,2
추천 조리방법 보여.,2
추천 조리방법 보여줘.,2
추천 조리방법 보여줄래?.,2
추천 조리방법 보여줄래요?.,2
추천 조리방법 보여주실래요?.,2
추천 조리방법 보여줘요.,2
추천 조리방법 보여줘봐.,2
지금 재료로 레시피 추천.,2
지금 재료로 레시피 추천해줘.,2
지금 재료로 레시피 추천해줘요.,2
지금 재료로 레시피 추천해.,2
지금 재료로 레시피 추천해봐.,2
지금 재료로 레시피 추천해줄래?.,2
지금 재료로 레시피 추천해줄래요?.,2
지금 재료로 레시피 추천해주실래요?.,2
지금 재료로 추천 레시피.,2
지금 재료로 추천 레시피 띄워줘.,2
지금 재료로 추천 레시피 띄워.,2
지금 재료로 추천 레시피 띄워줘요.,2
지금 재료로 추천 레시피 띄워줄래요?.,2
지금 재료로 추천 레시피 띄워줄래?.,2
지금 재료로 추천 레시피 띄워주세요.,2
지금 재료로 추천 레시피 띄워주실래요?.,2
지금 재료로 추천 레시피 보여.,2
지금 재료로 추천 레시피 보여줘.,2
지금 재료로 추천 레시피 보여줄래?.,2
지금 재료로 추천 레시피 보여줄래요?.,2
지금 재료로 추천 레시피 보여주실래요?.,2
지금 재료로 추천 레시피 보여줘요.,2
지금 재료로 추천 레시피 보여줘봐.,2
지금 재료로 요리 추천.,2
지금 재료로 요리 추천해줘.,2
지금 재료로 요리 추천해줘요.,2
지금 재료로 요리 추천해.,2
지금 재료로 요리 추천해봐.,2
지금 재료로 요리 추천해줄래?.,2
지금 재료로 요리 추천해줄래요?.,2
지금 재료로 요리 추천해주실래요?.,2
지금 재료로 추천 요리.,2
지금 재료로 추천 요리 띄워줘.,2
지금 재료로 추천 요리 띄워.,2
지금 재료로 추천 요리 띄워줘요.,2
지금 재료로 추천 요리 띄워줄래요?.,2
지금 재료로 추천 요리 띄워줄래?.,2
지금 재료로 추천 요리 띄워주세요.,2
지금 재료로 추천 요리 띄워주실래요?.,2
지금 재료로 추천 요리 보여.,2
지금 재료로 추천 요리 보여줘.,2
지금 재료로 추천 요리 보여줄래?.,2
지금 재료로 추천 요리 보여줄래요?.,2
지금 재료로 추천 요리 보여주실래요?.,2
지금 재료로 추천 요리 보여줘요.,2
지금 재료로 추천 요리 보여줘봐.,2
지금 재료로 음식 추천.,2
지금 재료로 음식 추천해줘.,2
지금 재료로 음식 추천해줘요.,2
지금 재료로 음식 추천해.,2
지금 재료로 음식 추천해봐.,2
지금 재료로 음식 추천해줄래?.,2
지금 재료로 음식 추천해줄래요?.,2
지금 재료로 음식 추천해주실래요?.,2
지금 재료로 추천 음식.,2
지금 재료로 추천 음식 띄워줘.,2
지금 재료로 추천 음식 띄워.,2
지금 재료로 추천 음식 띄워줘요.,2
지금 재료로 추천 음식 띄워줄래요?.,2
지금 재료로 추천 음식 띄워줄래?.,2
지금 재료로 추천 음식 띄워주세요.,2
지금 재료로 추천 음식 띄워주실래요?.,2
지금 재료로 추천 음식 보여.,2
지금 재료로 추천 음식 보여줘.,2
지금 재료로 추천 음식 보여줄래?.,2
지금 재료로 추천 음식 보여줄래요?.,2
지금 재료로 추천 음식 보여주실래요?.,2
지금 재료로 추천 음식 보여줘요.,2
지금 재료로 추천 음식 보여줘봐.,2
지금 재료로 요리방법 추천.,2
지금 재료로 요리방법 추천해줘.,2
지금 재료로 요리방법 추천해줘요.,2
지금 재료로 요리방법 추천해.,2
지금 재료로 요리방법 추천해봐.,2
지금 재료로 요리방법 추천해줄래?.,2
지금 재료로 요리방법 추천해줄래요?.,2
지금 재료로 요리방법 추천해주실래요?.,2
지금 재료로 추천 요리방법.,2
지금 재료로 추천 요리방법 띄워줘.,2
지금 재료로 추천 요리방법 띄워.,2
지금 재료로 추천 요리방법 띄워줘요.,2
지금 재료로 추천 요리방법 띄워줄래요?.,2
지금 재료로 추천 요리방법 띄워줄래?.,2
지금 재료로 추천 요리방법 띄워주세요.,2
지금 재료로 추천 요리방법 띄워주실래요?.,2
지금 재료로 추천 요리방법 보여.,2
지금 재료로 추천 요리방법 보여줘.,2
지금 재료로 추천 요리방법 보여줄래?.,2
지금 재료로 추천 요리방법 보여줄래요?.,2
지금 재료로 추천 요리방법 보여주실래요?.,2
지금 재료로 추천 요리방법 보여줘요.,2
지금 재료로 추천 요리방법 보여줘봐.,2
지금 재료로 조리방법 추천.,2
지금 재료로 조리방법 추천해줘.,2
지금 재료로 조리방법 추천해줘요.,2
지금 재료로 조리방법 추천해.,2
